Gene_ID	clet_l1370	clet_l1378	clet_l1382	clet_l1386	clet_l2068	clet_l2178	clet_l2289	clet_l2292	clet_l2294	clet_l2295	clet_l2297	clet_l2302	clet_l2347	clet_l2376	clet_l2611	clet_l2613	clet_l2615	clet_l2617	clet_l2620	clet_l3443	clet_l3444	clet_l3445	clet_l3453	clet_l3454	clet_l3455	clet_l3456	clet_l3457	clet_l3458	clet_l3459	clet_l3461	clet_l3462	clet_l3464	clet_l3466	clet_l3467	clet_l3469	clet_l3471	clet_l3472	clet_l3473	clet_l3474	clet_l3475	clet_l3476	clet_l3477	clet_l3533	clet_l3535	clet_l3536	clet_l428	clet_l432	clet_l436	clet_l975	clet_l997	clet_l1016	clet_l1085	clet_l1369	clet_l1376	clet_l2296	clet_l2301	clet_l2616	clet_l3431	clet_l3432	clet_l3433	clet_l3434	clet_l3436	clet_l3439	clet_l3440	clet_l3441	clet_l3442	clet_l3447	clet_l3449	clet_l3463	clet_l3537
CD36	9.52140414133022	7.80992886572143	7.7515440590891	11.6968806142766	8.60843965255159	8.48743811292872	10.1961102846908	9.70113315484797	9.03919323984743	10.3583215299372	9.21601826548884	8.91647664443772	10.3756911041914	9.73386271967854	11.7566814062669	10.2845927878879	12.3651741592445	11.1477137223522	8.64709860726341	8.36457243229586	8.08480838780436	7.7714894695006	8.53566419081016	7.5077946401987	8.86418614465428	8.29001884693262	9.30103884990315	7.82781902461732	7.5298209465287	10.0441208557833	11.2801327815998	10.7819333986111	11.4951055100078	11.375419609612	8.17592374206376	9.84030586326225	9.3405177626933	10.5319662183603	8.02956331443266	7.98925256516599	7.83225711437793	10.4618886644328	7.41616416473313	7.90207357931074	10.3666500622283	10.1635238906684	8.40173284952262	9.40194612397654	8.50977500432694	10.521207816224	10.1587359027319	9.12023787734196	9.73623278951132	9.5713734359732	11.5127404628035	10.2099406802902	8.47411151394241	11.0760807041016	8.05690861832325	11.7010898248172	11.7368669690639	10.8617072865859	8.6398833131998	9.22351908679073	10.8793535028107	8.05365441760314	7.86666075081999	8.47816289273763	10.9056878485269	7.64241277290506
CCR3	7.4245862262511	7.4520352735462	7.42122329922514	7.43212427264156	7.44790974874208	7.43796008833447	7.44625622988956	7.58345891013077	7.41531924814038	7.4487357980294	7.4446008137115	7.38973887867698	7.43128865429159	7.61028665708102	7.47167521439204	7.4520352735462	7.45450493755737	7.48058827023386	7.59320435406329	7.63807383718072	7.57440430902258	7.69974594797101	7.4520352735462	7.4110872267986	7.40514146313634	7.44211412241923	7.38801728534513	7.4068427546553	7.42794133250948	7.43045255166553	7.41362792902417	7.44294349584873	7.42961596420174	7.40599235967584	7.41023933077602	7.60806996772166	7.5453506448223	7.45285896471381	7.39403389536778	7.59021276140836	7.57742882803575	7.42290574261218	7.38715571766298	7.40343816300828	7.39059890555246	7.37503943134693	7.44708322620965	7.42710328715284	7.43796008833447	7.45697038112101	7.39660478118186	7.44377239276374	7.64889680647525	7.43295940727611	7.33002051583608	7.41531924814038	7.44542875923832	7.44625622988956	7.39489136644259	7.40854204229686	7.35931031689044	7.35755200461808	7.38370429247405	7.52277766952458	7.58195375084882	7.54689445988764	7.44625622988956	7.44211412241923	7.44045394382303	7.42206476617281
ICAM2	9.59972691589769	8.65749710044411	9.39874369193819	9.31899464028609	10.2157756530203	9.52061868055628	10.3598593502878	8.94778302625542	9.98811658476014	9.7900226112658	9.23218105768664	10.2460279805281	9.58552594343126	9.62589145113266	9.07012094447682	8.85642552862553	10.0697182757183	9.87190523765919	9.1003995290872	10.4023725783222	8.97096866052181	9.50878516206451	8.83320635997039	7.88935185259465	9.42877889133759	8.54920708935568	9.43567026093655	8.90418300324503	8.39274673242064	8.95215881074705	9.08294736012785	9.5168818908212	9.60603500611611	9.71424551766612	9.31989787715446	9.10302547637368	10.4047158265966	11.5631485947918	8.96837880137054	9.35645197022176	10.2997804028585	10.2760080542083	8.43712784427281	8.49745269597724	8.26959425168337	9.98456086984127	9.75688985507462	9.90809234081827	9.62899225714273	9.26326920037266	8.59432460392485	9.47553079102774	10.3473999095085	9.61397358738023	9.81762325751143	10.3376219019925	8.88752527074159	9.88584887004065	8.80445373565528	8.36588496767757	9.1423623789634	10.2792623423154	8.76487159073609	10.2747275727873	9.2592724870376	10.2250869060072	8.25077213159993	7.9518675043269	9.76487159073609	8.56871618873173
IRF5	7.44790974874208	7.56605403817109	7.67807190511264	7.33539035469393	7.5668151540109	7.38111029409905	7.62935662007961	7.61765111942733	7.65391987311942	7.66533591718518	7.97498811199193	7.47329987114132	7.37677657188298	7.52591226074335	7.50700173276412	7.42794133250948	7.34607044078517	7.47167521439204	7.58195375084882	7.72519581722666	7.80671071796523	7.47248777146274	7.5909612413426	7.55765515472542	7.43379405875492	7.44377239276374	7.42794133250948	7.38024459047819	7.36894291440495	7.56833618213375	7.48220292629596	7.37068740680722	7.38370429247405	7.37330019660839	7.47816289273763	7.41362792902417	7.65463602852797	7.61323695471633	7.44045394382303	7.58496250072116	7.78659636189081	7.60214209069798	7.66604642940879	7.44625622988956	7.38456792317383	7.43879185257826	7.71424551766612	7.39059890555246	7.41869594960205	7.4870360800319	7.5461227588578	7.4068427546553	7.90267658665114	7.46270675067016	7.40599235967584	7.61544572530479	7.43128865429159	7.45038647903429	7.31560245663795	7.43295940727611	7.39574832817903	7.44542875923832	7.3566720442121	7.42710328715284	7.37851162325373	7.49904859773388	7.43462822763673	7.467605550083	7.48542682717024	7.4093909361377
CD97	10.3131097762959	9.95550461370269	10.0193127256514	10.316620949473	10.0404267225966	10.9406072456389	11.4345239828995	9.96953042389498	10.0681064758588	10.6556201621093	10.0469875450795	10.5276724799501	11.0024634388925	10.6552623730217	10.5163894866248	9.88187870760045	11.3056057895854	11.0459643812526	9.92035285541508	11.8155033819677	12.2121619670561	10.4579964070805	11.0203549596945	10.3111806600534	11.6022813044237	8.97384083953315	10.1378877131022	9.7550544710938	10.7595553432063	10.5615743551927	9.53780079779103	11.1016474500308	9.72485487546899	10.5858075822884	10.3508287106217	10.59935499142	10.4614794472862	10.8067912592097	9.71011763204345	12.3679607096416	11.6380285711894	10.6794800995054	11.2770548761487	10.6247954558602	10.2713463002826	10.5668151540109	9.90884292355248	10.4985500680489	10.0212576205605	11.1465050353852	10.4444972871038	11.0855388495101	10.9772799234999	9.8712892278117	10.6100097571011	11.012065787874	9.86465045674568	11.1407658767523	9.0042204663182	10.3585413189445	11.43858395647	10.51195026969	9.98128185405741	11.6201739958393	10.7725620132569	10.2941612186948	12.1696118826042	10.0298393490725	10.3905989055525	10.0008450815672
CCR6	7.49505552836802	7.39574832817903	7.48220292629596	7.42122329922514	7.39317591434881	7.47004872601133	7.89542381038297	7.39145842004967	7.47411151394241	7.69348695749933	7.44708322620965	7.42877889133759	7.3566720442121	7.5022351148568	7.42374622911477	7.51017075115177	7.4797802640291	7.49265437101891	7.34251918966061	8.91916128397349	7.4966540825935	7.33002051583608	7.46352437327118	7.45285896471381	7.39489136644259	7.42038134119664	7.38629363515099	7.43462822763673	7.43045255166553	7.41616416473313	7.44294349584873	7.42374622911477	7.45038647903429	7.42290574261218	7.57364718749332	7.34695688937889	7.3327079336406	7.55305325276641	7.4757334309664	7.5713734359732	7.34607044078517	7.43379405875492	7.40769264866568	7.40173284952262	7.41447383643093	7.46107011403305	7.41531924814038	7.4594316186373	7.46188866443282	7.44542875923832	7.40514146313634	7.51017075115177	7.59618975614441	7.41023933077602	7.47004872601133	7.45285896471381	7.44377239276374	7.37590826307501	7.39403389536778	7.39059890555246	7.34607044078517	7.47329987114132	7.44045394382303	7.37590826307501	7.33002051583608	7.40854204229686	7.39660478118186	7.42038134119664	7.42374622911477	7.36632221424582
TNFRSF18	7.32192809488736	7.29553937040683	7.29553937040683	7.30833903013941	7.3983161634002	7.29553937040683	7.32732808262995	7.25077213159993	7.29829173062012	7.44377239276374	7.30469355747101	7.31469652565629	7.25266543245025	7.26021388677142	7.30651744524982	7.3671963100259	7.42206476617281	7.47735352663456	7.27519333390221	7.25644459647344	7.23266075679027	7.2336196767597	7.34784279363816	7.46270675067016	7.28355142317431	7.33360262826828	7.38284014447524	7.37242979233409	7.36369674483899	7.30103884990315	8.12049709844425	7.35579154675365	7.2807707701306	7.4093909361377	7.34961297182452	7.32553033156756	7.25550073314839	7.24126817732937	7.3110671022556	7.29645740737124	7.27519333390221	7.27146302790438	8.11478344724985	7.31650781910311	7.50462039240355	7.55765515472542	7.40343816300828	7.32282949762889	7.38024459047819	7.33002051583608	7.27705487614873	7.43879185257826	7.26397335480341	7.24792751344359	7.30924896081662	7.34607044078517	7.44708322620965	7.39574832817903	7.33181268381921	7.28169825009883	7.3110671022556	7.34429590791582	7.32912359629157	7.24887634283713	7.27332938656167	7.28262513419168	7.34163000932991	7.46597446450407	7.39231742277876	7.30103884990315
ADA	9.42710328715284	8.80606622608903	10.0963198414183	8.82940562440429	9.6386169183243	9.80558266816901	10.0930213465869	8.69974594797101	8.82464058085342	9.36741475124683	9.23912113181231	9.16817065999688	9.29920801838728	8.87098112422465	8.93310047493137	8.71424551766612	8.74819284958946	8.79148851659858	10.049576317156	8.82718389581953	9.01708677336272	10.1048607997082	11.1147183891884	7.656782364219	8.14567745519564	8.48220292629596	8.62131930101419	8.66569121703696	9.05446865619548	9.76188361236552	9.30765620530649	9.06501215043695	9.07092594498551	9.10721707559138	8.47411151394241	9.40705527510069	10.3028673609729	9.16616308264611	9.3151495622563	8.88782986169403	8.76752238622855	9.95550461370269	9.48058827023386	9.14567745519564	9.62314990022045	9.72894086840337	10.0885232566166	8.58308276750293	9.72161190388437	8.91498301655724	9.65194861072345	8.68299458368168	10.1910592145317	9.63226821549951	8.90237511448603	9.69400957842186	8.65928239338433	9.21553299974566	8.87559578337043	8.64169052255661	8.19819945543749	9.02901108665907	8.60584986719498	9.02790599656988	9.67207169690516	9.17042585027251	9.70113315484797	9.68964860828881	9.5643400579856	8.47937609116166
MCAM	7.6242471458362	7.41700858678878	7.53060141451683	7.77544567410286	7.50462039240355	7.40173284952262	7.76686014382954	7.4520352735462	7.66320227857954	7.5337190711399	7.43796008833447	7.51412226017071	7.54920708935568	7.3819754785573	7.66959375118833	7.76022094646651	8.03782146543497	7.99435343685886	7.39403389536778	7.59544398458948	7.36018867006271	7.5713734359732	7.51412226017071	7.61765111942733	7.47735352663456	7.4966540825935	7.86294724802092	7.66035250967092	7.73809225962049	7.69278983497265	7.55151601762801	7.79960542245267	7.81378119121704	7.91826695909256	7.44542875923832	7.69627208392586	7.6006563078263	8.25408377931942	7.59768014371589	7.37155886261196	7.34163000932991	7.75755668893945	7.56376827845203	7.64745842645492	7.65176927141799	7.72723977748481	7.64169052255661	7.54303182025524	7.71561885907482	7.55842071326866	7.86604249709684	7.61985314739117	7.61176256006487	7.50620838930675	7.72519581722666	7.51412226017071	7.67807190511264	7.93251005337989	7.63807383718072	7.92599941855622	8.20310325023664	8.12256919221645	7.65535182861255	7.62205181945638	7.55228483994351	7.83162393682075	7.80992886572143	7.61323695471633	7.84862294042934	7.71149490665009
ETS1	11.2247855346036	10.6768386064742	10.7630463394201	11.4614282869804	11.2712295632156	11.8059050581236	12.0730704196143	11.397086312658	12.080384520909	11.1206914837098	11.3421858112557	11.4786179617108	12.2574762404158	12.3340497675996	11.0158331642693	11.1698623831111	11.1078709142796	11.7523806465529	10.747102028266	12.3345805656222	11.3244618559773	11.5628624971492	11.6378022199266	10.2656150464845	11.7455902973828	10.0148573813164	10.8329691071195	11.0660218990078	10.5303087884976	10.8559585614614	10.612868497291	11.3470676571659	11.6089940022379	11.5980990379607	11.5226796037229	11.5202749069504	11.3419079370583	12.8810757126856	10.3817592310802	10.8802722705799	12.1302487840507	12.0672662830443	10.4696418172395	11.4166919864347	11.4384799971804	11.3259799793944	10.4041836042713	10.9752031240454	11.6552176431462	11.5019864214979	11.1058430490534	11.6276706695533	11.3486728351091	10.4780617468028	11.7403710658452	11.7330577034089	11.4926043043867	10.5967488319278	12.0565699813616	11.9053493951681	9.97999672947419	12.0671318067745	11.1625801508291	11.2620948453702	12.1717397517818	12.1071843758772	10.9706811278769	11.1921078417106	11.7968507952672	9.79409089843773
