Experiment_ID	Pt_2	Pt_11	Pt_12	Pt_15	Pt_18	Pt_22	Pt_23	Pt_25	Pt_26	Pt_27	Pt_28	Pt_29	Pt_33	Pt_36	Pt_38	Pt_39	Pt_41	Pt_42	Pt_43	Pt_46	Pt_47	Pt_48	Pt_50	Pt_51	Pt_52	Pt_53	Pt_54	Pt_55	Pt_57	Pt_58	Pt_59	Pt_61	Pt_62
IRF5	5.77007055464027	5.99857707717591	5.46342711400441	5.9711641142652	5.68335460410005	5.93597988735418	5.56833023030908	5.85804304232342	5.47213254125316	5.62778499050743	6.04430176786437	5.69197389389107	5.68635692047862	4.9897299977631	5.68428643633519	5.12515641343987	5.92163945949654	5.6931546170546	5.79728279261181	5.94542785829261	6.49488899883478	5.38525971783353	5.39758471874268	5.91652816585491	4.89925710475739	5.3147767549507	5.8258113436595	5.95673009072341	6.00253569398187	5.148438859548	5.48099422316375	5.79160086298105	4.80867259432895
RUNX1	9.92151596392321	8.34382075510983	7.36280986572984	8.11409548645107	7.89995960855829	7.59985648696795	8.64719551879332	7.14132517344057	7.99623568994227	7.56213397545183	8.17014687592899	7.44965860472865	7.55210934418425	7.97941729275689	6.50251150807281	7.7644998289157	6.65753954984295	8.19719293209938	8.23500020677984	6.97313619677028	7.48646574786438	5.25278265519735	6.86387189182101	8.06328462508639	7.60037571396038	7.42115140823314	7.38546882209192	7.98658347474489	8.01235098090877	8.14466949611925	7.59652092964507	7.05199840205363	8.04050400071977
CXCL10	6.38374045281712	7.95623153468515	6.85708231880153	7.25265828798219	9.1519744705588	4.90623369994175	6.62288491995436	7.05405227265084	5.81615819119005	6.99171816070247	6.0831842917538	7.39406026954506	6.75305256169683	6.28080758504243	5.65754182317025	6.06378035237243	5.90346851284819	5.53339383578272	5.3623077678904	6.25875786977892	5.84436686834854	7.50540547307063	6.76743474168633	5.86524900683515	3.85115601581155	8.52280527924871	7.6638364550056	5.59932358075048	6.42408049094095	7.22529555590242	6.54323348589544	9.1228468830928	4.15115364735115
HLA-DQB1	10.7044345133626	8.60300806330969	8.83532884018037	7.96584222526981	2.44277940129688	8.94166195568715	8.44776421751322	3.86905004844002	3.0003115340276	9.01814912467599	6.27575400104735	5.32074615989561	7.04409444628657	5.54762485203491	5.03459440739376	3.11387862305402	4.44576195377081	7.85984684910304	7.93628022717105	7.90664326205026	7.66542489698601	6.61333812825066	8.80667891748099	7.22312496193662	4.07883836161224	8.3687448404973	8.1764755678726	6.38780722252005	2.13781750739315	4.84580229575358	4.84935710038616	3.8059729837562	1.30803117290743
VCAM1	8.97191969410349	9.1603442776285	6.76243331089778	6.67705972639545	9.78066533998933	8.25059259495875	10.5037856782418	6.71610485463601	8.59343226150062	9.27651520207401	8.08667074042701	7.38898872822431	6.79361578839943	8.23430945551713	5.51094709074391	8.26736815316489	6.33389078545444	8.31539737581154	9.23726613739378	5.77466861547258	8.40303309966995	5.77464620992022	7.37188296129675	8.20583141903273	5.70301006148801	7.38435099915657	8.6742225002532	6.68328470498865	9.51066736937658	8.79874923367114	7.21776356166651	7.59880945993589	8.18476489936281
CCL8	6.36167835545616	6.55949907157607	6.83351147139049	7.24980211780704	8.12340619685066	6.67687671392286	6.22275809902279	6.25640201408455	6.51631699785864	7.1510943815191	7.14478279048803	5.96438962499769	6.98084363031745	6.1781385473711	6.15485010283722	5.76403469723969	5.74527697963699	6.43421690059894	5.55799099155185	7.26481344240489	6.46950422753714	6.69571257010439	6.47053046101322	6.25269333006226	6.15274315912837	6.90910648890771	6.73711325043746	5.73638164612322	6.31768412760713	6.71264153673659	6.09948115107715	6.84953059286867	6.49463804970947
CXCR6	5.23323304512394	5.66860750998728	5.24959668696514	5.10996374549647	6.09879187243786	6.33999284186147	5.86960327091109	5.32087218036068	5.58886664362037	4.64512133474641	4.92082501562918	5.67478069990323	5.43124064595077	4.62207275059039	5.9482353499221	5.12476331025263	4.44618950976038	5.22061600629701	4.89247430672911	5.93230479547928	4.28276955496027	5.52013349119977	6.15411618080751	5.5348391714436	5.43110305357688	6.39565154419297	5.88993988394143	4.97794693941717	5.25326741031239	5.17298624406162	5.91540452235898	5.80894260514007	4.16179652163894
C6	4.27397608842686	5.69356635526846	5.13046267907309	4.18394976097188	3.96286162055469	4.41215362176216	5.26479098006378	5.45144371841188	4.62572296316895	5.21878221305768	4.5622543870055	4.93444109790554	4.82687138599979	4.55791089942343	5.35479946900047	5.12024203605684	4.64784015524953	4.03942928502542	4.60833648356604	5.31973072349893	5.45730594355394	4.94080824170115	4.20146031710607	4.80971324104981	7.81736509272878	4.99691234779597	4.9530140154813	5.08221228961158	4.36667238516718	4.32884480697065	5.50358818743407	4.26064089548472	6.02893560741601
ABCB1	4.25449475091814	5.89913820653356	6.9267184062937	5.59798794827575	6.58025970334119	6.65944795185036	5.09780872830699	7.84891351282891	7.34343052522031	7.91218999394324	6.07449514541819	6.647597129127	5.72984220851009	6.44647800217472	4.96273476378749	8.69872927668042	11.6566868889543	6.43868712445638	4.54851088352674	6.32537105618532	7.09482419111132	6.33817213096947	6.25793045030177	6.23860281776993	5.83751102265025	6.36263762197589	5.63347333240099	7.13089842131547	5.59655400496857	6.58248293897559	6.74723163914511	7.49256834409441	8.75004244876614
NRP1	9.51704432445582	9.99079469681741	10.905746527167	11.0134198011322	9.65120270326642	10.070020912749	9.64340723128334	10.8879649230345	10.9188518035464	10.1213194851972	10.4262046828358	11.2235613002655	9.94554501977522	11.0484090288526	10.5946758380208	12.5998674557108	10.6617149148702	9.96854363202044	10.6444913933952	10.3575799643919	11.231397853037	11.1609913746784	10.0851115562099	10.310696864519	10.4703686058166	9.55723031841794	10.4156417664917	11.399542491813	10.4816618949062	10.423005159598	9.76384978350761	10.0784588185707	10.3717716788813
