Experiment_ID	Sample_ID
Pt_2	Pt_2
Pt_11	Pt_11
Pt_12	Pt_12
Pt_15	Pt_15
Pt_18	Pt_18
Pt_22	Pt_22
Pt_23	Pt_23
Pt_25	Pt_25
Pt_26	Pt_26
Pt_27	Pt_27
Pt_28	Pt_28
Pt_29	Pt_29
Pt_33	Pt_33
Pt_36	Pt_36
Pt_38	Pt_38
Pt_39	Pt_39
Pt_41	Pt_41
Pt_42	Pt_42
Pt_43	Pt_43
Pt_46	Pt_46
Pt_47	Pt_47
Pt_48	Pt_48
Pt_50	Pt_50
Pt_51	Pt_51
Pt_52	Pt_52
Pt_53	Pt_53
Pt_54	Pt_54
Pt_55	Pt_55
Pt_57	Pt_57
Pt_58	Pt_58
Pt_59	Pt_59
Pt_61	Pt_61
Pt_62	Pt_62
